Feature,Importance_Accuracy,Importance_Loss
VelocityLoss,0.4300000071525574,2.810655325651169
RepSpeed,0.06000000238418579,0.2030891478061676
ForceOutput,0.020000040531158447,-0.008830755949020386
GripStrength,0.020000040531158447,0.01100069284439087
ForceVelocityRatio,0.009999990463256836,0.04258057475090027
HRPercentMax,0.009999990463256836,-0.018071472644805908
FitnessLevel,0.009999990463256836,0.058526843786239624
HeartRate,-0.019999980926513672,-0.015340596437454224
WorkoutGoal,-0.019999980926513672,-0.013260334730148315
Gender,-0.029999971389770508,0.043188124895095825
RecoveryRate,-0.039999961853027344,0.003842592239379883
Age,-0.050000011920928955,-0.056194424629211426
